# Number of Traces
25
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0;0;2;0.238807;0.890697;0.303164;0.247976;0.689657;0.597042
1;0;3;0.589994;0.441441;0.443965;0.407083;0.792907;0.190545
2;0;4;0.479352;0.719358;0.190545;0.322542;0.80614;0.302152
3;0;5;0.425099;0.510615;0.595174;0.4272;0.507259;0.597042
4;0;6;0.424368;0.544407;0.544514;0.160363;0.945519;0.341506
5;0;7;0.329511;0.606678;0.597042;0.449954;0.708947;0.252369
6;0;8;0.422841;0.77687;0.190545;0.554138;0.392492;0.574938
7;1;3;0.932193;0.433973;0.39362;1.08814;0.44643;0.357881
8;1;4;0.554715;0.347753;0.152702;0.85174;0.345608;-0.0664659
9;2;3;0.195079;0.522076;0.443965;0.204178;0.694743;0.303164
10;2;6;0.162013;0.344039;0.433417;0.315867;1.26296;0.37729
11;2;7;0.283902;0.604473;0.932231;0.14992;0.323377;0.377919
12;2;9;0.248426;0.611361;0.690974;0.179673;0.318119;0.579654
13;3;4;0.696398;0.945884;0.0194716;0.331369;0.670028;0.302152
14;3;6;0.229584;0.51503;0.443965;0.106704;0.646971;0.357762
15;3;7;0.27533;0.50569;0.443965;0.449043;0.707708;0.252369
16;3;8;0.372567;0.943509;0.0747309;0.523845;0.454947;0.443965
17;4;7;0.33813;0.565777;0.302152;0.400631;0.64188;0.252369
18;4;8;0.380931;1.01205;0.249189;0.508823;0.365999;0.185707
19;5;8;0.571906;0.379297;0.689539;0.519984;0.57291;0.604604
20;5;9;0.456191;0.143736;0.733951;0.206176;0.304783;0.595174
21;6;7;0.158754;0.344954;0.431523;0.452188;0.760945;0.526741
22;6;8;0.327681;1.34077;0.371883;0.477922;0.735164;0.544514
23;7;8;0.446294;0.70397;0.252369;0.459739;0.755391;0.438078
24;7;9;0.06494;0.226038;0.479991;0.31169;0.606876;0.733951
